Module,Primary Metric,Score,Success Rate,Latency (ms),Role
Adaptive Router,Intent accuracy,90.67%,N/A,0.04,"Routes queries to RAG, SQL, or HYBRID"
RAG V3,Context precision,90.04%,98.00%,241.44,Unstructured document retrieval
Text-to-SQL,Execution accuracy,84.00%,88.00%,233.47,Structured database querying
Hybrid Handler,Hybrid correctness,81.50%,88.00%,761.28 / 1007.31,Combines evidence from documents and SQL
End-to-End System,Query success,97.33%,97.33%,476.23 / 580.86,Full pipeline performance
